Met;Frag;[1,2]Glc;[2,3]Glc;[4,5,6]Glc;[2,3,4,5,6]Glc;[1] + [4,5,6]Glc (1:1);[1] + [U]Glc (1:1);[1] + [U]Glc (4:1);20% [U]Glc;[1]Glc;[2]Glc;[3]Glc;[4]Glc;[5]Glc;[6]Glc
Gly;Gly218 (M2);9,9;10,2;11,5;13,7;9;10,8;8,3;8,3;6,6;9,9;7;6,6;11;6,7
Gly;Gly218 (M3);3,2;3,3;3,7;6;2,5;3,7;2,3;2;0,9;3,1;1,2;0,9;3,8;1
Val;Val260 (M0);22,6;22,8;18,9;2,7;22,3;7,8;18,1;45,6;27,3;21,5;64;73,2;16,9;16,8
Val;Val260 (M1);10,9;36,2;5,7;2,5;21,2;11,6;26,7;13,1;41,9;42,2;24,5;17,8;41,2;40,9
Val;Val260 (M2);35,4;26;37,8;15,2;29,5;27,8;28,7;27,7;22,5;26,7;9;7,4;31;31
Val;Val260 (M3);11,5;10,9;9;37,1;15,1;22,4;16,7;6,7;6,3;7,2;2;1,2;8,1;8,3
Val;Val260 (M4);15,5;3,3;22,3;32;9,2;23,2;7,5;5,5;1,7;2,1;0,4;0,2;2,4;2,5
Val;Val260 (M5);3;0,8;4,4;8;2,2;5,4;1,9;1;0,3;0,3;0,1;0;0,4;0,4
Val;Val260 (M6);1,1;0,1;1,8;2,5;0,6;1,8;0,4;0,3;0;0,1;0;0;0,1;0,1
Val;Val288 (M0);22,6;22,6;19;2,7;22;7,6;18,4;46,5;26,5;21,5;37,3;35,2;17,1;16,8
Val;Val288 (M1);9,6;21,4;5,8;1,8;21,3;11,3;27,2;13,3;41,9;40,6;41,2;47,1;41;40,7
Val;Val288 (M2);35,2;24,8;20,4;2,9;19,4;17,5;22,3;17,3;23;26,5;15,3;12,5;30,5;30,9
Val;Val288 (M3);11,3;19,5;22,5;15;19,3;22,8;17,2;14;6,5;8,5;4,9;4,3;8,3;8,4
Val;Val288 (M4);16,2;8,5;6;36,9;8,5;14,6;8,7;4,1;1,7;2,3;1,1;0,7;2,5;2,5
Val;Val288 (M5);3,6;2,6;20,7;30,5;7,4;20,3;4,8;3,8;0,3;0,5;0,2;0,1;0,5;0,5
Val;Val288 (M6);1,3;0,6;3,9;7,6;1,6;4,3;1,1;0,7;0;0,1;0;0;0,1;0,1
Val;Val288 (M7);0,2;0,1;1,7;2,5;0,5;1,6;0,3;0,3;0;0;0;0;0;0
Leu;Leu274 (M0);13,3;21,2;10,3;2,6;13;3,6;10,7;37,8;17,1;20,2;62,7;73,2;16,9;8,6
