,rxn_id,flux
0,ex_1,9.999999994736442e-08
1,ex_2,1.0000000000000004
2,R1,1.0000000000000004
3,R10,1.3776630259442158e-06
4,R11,0.09877317710001834
5,R12,1.256574941964096e-06
6,R13,1.1652071576016489e-06
7,R14,0.0343419116817611
8,R15,0.014513151665690092
9,R16,2.061195942038019e-06
10,R17,0.0004498394245225912
11,R18,0.0004477782285805632
12,R19,1.9611959420351432e-06
13,R2,0.17149306499039454
14,R20,3.1699985983365556e-07
15,R21,3.1699985983365556e-07
16,R22,0.0002019401934291233
17,R23,0.00020152319356928945
18,R24,0.0024103175697253836
19,R25,0.0024103933930077264
20,R26,0.17149166358877682
21,R27,0.17149166358877682
22,R28,1.0000000000022769e-07
23,R29,1.0000000000022769e-07
24,R3,1.4014016177142496e-06
25,R30,5.928231421769382e-07
26,R31,0.0031891608800769283
27,R32,5.144347417934609e-07
28,R33,4.370550098727302e-07
29,R34,0.11746998188347754
30,R35,1.4052881270902678e-06
31,R36,1.4898767939485258e-06
32,R37,0.24926547565293897
33,R38,1.0000000003063114e-07
34,R39,0.09215108774948635
35,R4,0.1914968898182436
36,R40,0.13710910103740728
37,R41,1.429240215309949e-06
38,R42,1.4242929251106483e-06
39,R43,0.1571144223195838
40,R44,0.2292586595466783
41,R45,0.13179540918079458
42,R46,0.13179540918079458
43,R47,2.19281357807799e-07
44,R48,2.2423225779122544e-07
45,R49,1.2006824665979505e-06
46,R5,1.4534923266343451e-06
47,R50,9.99999999612422e-08
48,R51,0.038169314972316966
49,R52,0.08146071792759005
50,R53,0.08183674242035756
51,R54,0.1920047764892996
52,R55,6.669539616081581e-07
53,R56,8.883418868169527e-07
54,R57,9.843129224089106e-07
55,R58,0.0013915357537994271
56,R59,0.028962694062538374
57,R6,0.19149834331057022
58,R60,0.011680329733455739
59,R61,0.011680329733455739
60,R62,0.0017918970085306688
61,R63,0.06496201027717238
62,R64,0.06496201027717238
63,R65,0.02382471254742637
64,R66,0.023521525561286484
65,R67,0.01761577216845952
66,R68,0.01761577216845952
67,R69,0.01761577216845952
68,R7,0.5792445506350787
69,R70,0.01761577216845952
70,R71,0.1920037921763772
71,R72,0.0028313276902539597
72,R8,1.0000000003063114e-07
73,R9,0.1904847166637604
