experiment_id,met_id,ms_id,measurement_replicate,labelled_atom_ids,unlabelled_atoms,mass_isotope,intensity_std_error,time,intensity
exp1,B,B1,1,"[1, 2, 3]",,0,0.003,0,1.0
exp1,B,B1,1,"[1, 2, 3]",,1,0.003,0,0.0
exp1,B,B1,1,"[1, 2, 3]",,2,0.003,0,0.0
exp1,B,B1,1,"[1, 2, 3]",,3,0.003,0,0.0
exp1,F,F1,1,"[1, 2, 3]",,0,0.003,0,1.0
exp1,F,F1,1,"[1, 2, 3]",,1,0.003,0,0.0
exp1,F,F1,1,"[1, 2, 3]",,2,0.003,0,0.0
exp1,F,F1,1,"[1, 2, 3]",,3,0.003,0,0.0
exp1,E,E1,1,[1],,0,0.003,0,1.0
exp1,E,E1,1,[1],,1,0.003,0,0.0
exp1,B,B1,1,"[1, 2, 3]",,0,0.003,1,0.3608150522607712
exp1,B,B1,1,"[1, 2, 3]",,1,0.003,1,0.6306992618068766
exp1,B,B1,1,"[1, 2, 3]",,2,0.003,1,0.008484291590383126
exp1,B,B1,1,"[1, 2, 3]",,3,0.003,1,1.3943419689554533e-06
exp1,F,F1,1,"[1, 2, 3]",,0,0.003,1,0.7599744771405424
exp1,F,F1,1,"[1, 2, 3]",,1,0.003,1,0.22391059869705263
exp1,F,F1,1,"[1, 2, 3]",,2,0.003,1,0.016112425998207856
exp1,F,F1,1,"[1, 2, 3]",,3,0.003,1,2.498164197075957e-06
exp1,E,E1,1,[1],,0,0.003,1,0.9828149798924247
exp1,E,E1,1,[1],,1,0.003,1,0.017185020107575322
exp1,B,B1,1,"[1, 2, 3]",,0,0.003,2,0.12659585135499707
exp1,B,B1,1,"[1, 2, 3]",,1,0.003,2,0.8441783202771584
exp1,B,B1,1,"[1, 2, 3]",,2,0.003,2,0.02920136206053187
exp1,B,B1,1,"[1, 2, 3]",,3,0.003,2,2.446630731263155e-05
exp1,F,F1,1,"[1, 2, 3]",,0,0.003,2,0.4441801577129207
exp1,F,F1,1,"[1, 2, 3]",,1,0.003,2,0.49202718071129153
exp1,F,F1,1,"[1, 2, 3]",,2,0.003,2,0.06374406210773408
exp1,F,F1,1,"[1, 2, 3]",,3,0.003,2,4.859946805360059e-05
exp1,E,E1,1,[1],,0,0.003,2,0.9604275370742871
exp1,E,E1,1,[1],,1,0.003,2,0.03957246292571287
exp1,B,B1,1,"[1, 2, 3]",,0,0.003,3,0.0439363389342924
exp1,B,B1,1,"[1, 2, 3]",,1,0.003,3,0.9099574913311638
exp1,B,B1,1,"[1, 2, 3]",,2,0.003,3,0.04602672782101389
exp1,B,B1,1,"[1, 2, 3]",,3,0.003,3,7.944191352983808e-05
exp1,F,F1,1,"[1, 2, 3]",,0,0.003,3,0.23404216747964912
exp1,F,F1,1,"[1, 2, 3]",,1,0.003,3,0.6536930680176811
exp1,F,F1,1,"[1, 2, 3]",,2,0.003,3,0.11209093302052238
exp1,F,F1,1,"[1, 2, 3]",,3,0.003,3,0.00017383148214732838
exp1,E,E1,1,[1],,0,0.003,3,0.9470165491866086
exp1,E,E1,1,[1],,1,0.003,3,0.052983450813391265
exp1,B,B1,1,"[1, 2, 3]",,0,0.003,4,0.015198293901593258
exp1,B,B1,1,"[1, 2, 3]",,1,0.003,4,0.9289730549760835
exp1,B,B1,1,"[1, 2, 3]",,2,0.003,4,0.05568538618475315
exp1,B,B1,1,"[1, 2, 3]",,3,0.003,4,0.0001432649375700408
exp1,F,F1,1,"[1, 2, 3]",,0,0.003,4,0.11679939564869206
exp1,F,F1,1,"[1, 2, 3]",,1,0.003,4,0.7359638674644419
exp1,F,F1,1,"[1, 2, 3]",,2,0.003,4,0.1468955323562441
exp1,F,F1,1,"[1, 2, 3]",,3,0.003,4,0.0003412045306219414
exp1,E,E1,1,[1],,0,0.003,4,0.9404269786870024
exp1,E,E1,1,[1],,1,0.003,4,0.059573021312997514
