rxn_id,flux
R1,112.11115754860825
R11 net,134.58341284061578
R11 exch,32.708293579692096
R13 net,-63.384002931556395
R13 exch,68.3079985342218
R15,97.0007269765452
R16,77.18384427909375
R17 net,77.18384427909376
R17 exch,61.40807786045315
R19,41.660511563991896
R2 net,99.87348522904998
R2 exch,50.063257385475
R20,37.93311802200394
R21,37.93311802200395
R22 net,73.4564507371058
R22 exch,63.2717746314471
R24 net,59.50042825095669
R24 exch,70.24978587452166
R26,99.87348522904999
R27,99.87348522904999
R28,35.52333271510183
R29,35.52333271510184
R30,49.47935520125089
R31 net,97.15771491689841
R31 exch,51.42114254155073
R33,19.729141075772546
R34 net,21.03708648132583
R34 exch,89.48145675933709
R36 net,-106.65544929226698
R36 exch,46.672275353866524
R38 net,-28.125299432315046
R38 exch,85.9373502838425
R4,48.57691735527261
R40 net,29.82671773372924
R40 exch,85.0866411331354
R42 net,-78.53014985995193
R42 exch,60.73492507002398
R44,57.95201716604431
R45,85.61836281094116
R46,85.6183628109412
R47,1.2424645139960235
R48,1.2424645139959951
R49,1.2424645139959711
R5 net,-48.57691735527261
R5 exch,75.71154132236374
R50,1.242464513995972
R51,1.2424645139959756
R52,1.2424645139959551
R53,1.242464513995988
R54,2.484929027991935
R55,53.532835243008954
R56,1.2424645139959773
R57,1.2424645139959773
R58,1.242464513995981
R59,1.242464513995965
R60,1.2424645139959898
R61,1.2424645139959898
R62,1.2424645139959711
R63,50.40485042763687
R64,50.40485042763687
R65,1.242464513995989
R66,1.242464513995989
R67,47.91992139964489
R68,47.919921399644885
R69,47.91992139964489
R7 net,5.582223027291349
R7 exch,97.2088884863543
R70,47.91992139964489
R71,1.2424645139959773
R72,36.58392071136258
R9 net,-31.683454725282658
R9 exch,84.15827263735868
ex_1,100.0
ex_2,113.35362206260427
ex_3,118.40148359534564
ex_4,0.6212322569979984
