mass_isotope,intensity_std_error,ms_id,experiment_id,met_id,labelled_atom_ids,unlabelled_atoms,measurement_replicate,time,intensity
2,0.003,Isoleucine274,inst1,ILE,"[2, 3, 4, 5, 6]",C8H32ONSi2,1,0.1,0.07131753227091915
2,0.003,Methionine320,inst1,MET,"[2, 3, 4, 5]",C6H24NSiS,1,0.1,0.07111837565657148
2,0.003,Serine362,inst1,SER,"[2, 3]",C14H40O2NSi3,1,0.1,0.2793298362567392
2,0.003,Serine390,inst1,SER,"[1, 2, 3]",C14H40O3NSi3,1,0.1,0.1574379835005708
2,0.003,Threonine376,inst1,THR,"[2, 3, 4]",C14H42O2NSi3,1,0.1,0.10323496752809588
2,0.003,Threonine404,inst1,THR,"[1, 2, 3, 4]",C14H42O3NSi3,1,0.1,0.1056752890439524
2,0.003,Phenylalanine302,inst1,PHE,"[1, 2]",C12H32O2NSi2,1,0.1,0.07391392674156666
2,0.003,Phenylalanine308,inst1,PHE,"[2, 3, 4, 5, 6, 7, 8, 9]",C8H30ONSi2,1,0.1,0.07510565802740861
2,0.003,Phenylalanine336,inst1,PHE,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",C8H30O2NSi2,1,0.1,0.0777959794631313
2,0.003,Asparticacid302,inst1,ASP,"[1, 2]",C12H32O2NSi2,1,0.1,0.07391392670403452
2,0.003,Asparticacid390,inst1,ASP,"[2, 3, 4]",C14H40O3NSi3,1,0.1,0.10434308159063409
2,0.003,Asparticacid418,inst1,ASP,"[1, 2, 3, 4]",C14H40O4NSi3,1,0.1,0.10676123639706626
2,0.003,Glutamicacid330,inst1,GLU,"[2, 3, 4, 5]",C12H36O2NSi2,1,0.1,0.07656004659731441
2,0.003,Glutamicacid432,inst1,GLU,"[1, 2, 3, 4, 5]",C14H42O4NSi3,1,0.1,0.10811318311218945
2,0.003,Histidine338,inst1,HIS,"[2, 3, 4, 5, 6]",C12H36N3Si2,1,0.1,0.12588719491734188
2,0.003,Histidine440,inst1,HIS,"[1, 2, 3, 4, 5, 6]",C14H42O2N3Si3,1,0.1,0.1312136649743817
3,0.003,Alanine260,inst1,ALA,"[1, 2, 3]",C8H26O2NSi2,1,0.1,0.17901177506933957
3,0.003,Valine288,inst1,VAL,"[1, 2, 3, 4, 5]",C8H30O2NSi2,1,0.1,0.012035136605747709
3,0.003,Leucine274,inst1,LEU,"[2, 3, 4, 5, 6]",C8H32ONSi2,1,0.1,0.011678486356592332
3,0.003,Isoleucine274,inst1,ILE,"[2, 3, 4, 5, 6]",C8H32ONSi2,1,0.1,0.011678485790301802
3,0.003,Methionine320,inst1,MET,"[2, 3, 4, 5]",C6H24NSiS,1,0.1,0.00951178994028759
3,0.003,Threonine404,inst1,THR,"[1, 2, 3, 4]",C14H42O3NSi3,1,0.1,0.025053350974505475
3,0.003,Phenylalanine308,inst1,PHE,"[2, 3, 4, 5, 6, 7, 8, 9]",C8H30ONSi2,1,0.1,0.013613797784106894
3,0.003,Phenylalanine336,inst1,PHE,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",C8H30O2NSi2,1,0.1,0.014696159019996576
3,0.003,Asparticacid390,inst1,ASP,"[2, 3, 4]",C14H40O3NSi3,1,0.1,0.024160950323567996
3,0.003,Asparticacid418,inst1,ASP,"[1, 2, 3, 4]",C14H40O4NSi3,1,0.1,0.02547386788944495
3,0.003,Glutamicacid330,inst1,GLU,"[2, 3, 4, 5]",C12H36O2NSi2,1,0.1,0.014079454864203724
3,0.003,Glutamicacid432,inst1,GLU,"[1, 2, 3, 4, 5]",C14H42O4NSi3,1,0.1,0.02637857052997174
3,0.003,Histidine338,inst1,HIS,"[2, 3, 4, 5, 6]",C12H36N3Si2,1,0.1,0.0666902712246625
3,0.003,Histidine440,inst1,HIS,"[1, 2, 3, 4, 5, 6]",C14H42O2N3Si3,1,0.1,0.05741964844677695
4,0.003,Valine260,inst1,VAL,"[2, 3, 4, 5]",C8H30ONSi2,1,0.1,0.0018217620683826953
4,0.003,Valine288,inst1,VAL,"[1, 2, 3, 4, 5]",C8H30O2NSi2,1,0.1,0.0020664555406103196
4,0.003,Leucine274,inst1,LEU,"[2, 3, 4, 5, 6]",C8H32ONSi2,1,0.1,0.001924298730204259
4,0.003,Phenylalanine308,inst1,PHE,"[2, 3, 4, 5, 6, 7, 8, 9]",C8H30ONSi2,1,0.1,0.002254769022381773
4,0.003,Asparticacid418,inst1,ASP,"[1, 2, 3, 4]",C14H40O4NSi3,1,0.1,0.0060749842647302744
4,0.003,Glutamicacid330,inst1,GLU,"[2, 3, 4, 5]",C12H36O2NSi2,1,0.1,0.002418590471683174
4,0.003,Glutamicacid432,inst1,GLU,"[1, 2, 3, 4, 5]",C14H42O4NSi3,1,0.1,0.006291065548901902
4,0.003,Histidine338,inst1,HIS,"[2, 3, 4, 5, 6]",C12H36N3Si2,1,0.1,0.044051919139120606
5,0.003,Valine288,inst1,VAL,"[1, 2, 3, 4, 5]",C8H30O2NSi2,1,0.1,0.00022179433445249617
5,0.003,Histidine338,inst1,HIS,"[2, 3, 4, 5, 6]",C12H36N3Si2,1,0.1,0.013238424849354726
0,0.003,Alanine232,inst1,ALA,"[2, 3]",C8H26ONSi2,1,1.0,0.19454734791336764
0,0.003,Alanine260,inst1,ALA,"[1, 2, 3]",C8H26O2NSi2,1,1.0,0.1592132620053362
0,0.003,Glycine218,inst1,GL,[2],C8H24ONSi2,1,1.0,0.30537396345472984
0,0.003,Glycine246,inst1,GL,"[1, 2]",C8H24O2NSi2,1,1.0,0.20612363606457446
0,0.003,Valine260,inst1,VAL,"[2, 3, 4, 5]",C8H30ONSi2,1,1.0,0.7384083582706138
0,0.003,Valine288,inst1,VAL,"[1, 2, 3, 4, 5]",C8H30O2NSi2,1,1.0,0.7286541051856741
0,0.003,Leucine274,inst1,LEU,"[2, 3, 4, 5, 6]",C8H32ONSi2,1,1.0,0.7301938376583735
0,0.003,Isoleucine274,inst1,ILE,"[2, 3, 4, 5, 6]",C8H32ONSi2,1,1.0,0.7301938574375312
0,0.003,Methionine320,inst1,MET,"[2, 3, 4, 5]",C6H24NSiS,1,1.0,0.7803286305052146
0,0.003,Serine362,inst1,SER,"[2, 3]",C14H40O2NSi3,1,1.0,0.24040343187103466
0,0.003,Serine390,inst1,SER,"[1, 2, 3]",C14H40O3NSi3,1,1.0,0.17294351953230674
0,0.003,Threonine376,inst1,THR,"[2, 3, 4]",C14H42O2NSi3,1,1.0,0.6421578640339669
0,0.003,Threonine404,inst1,THR,"[1, 2, 3, 4]",C14H42O3NSi3,1,1.0,0.6336750718612062
0,0.003,Phenylalanine302,inst1,PHE,"[1, 2]",C12H32O2NSi2,1,1.0,0.7205481095324391
0,0.003,Phenylalanine308,inst1,PHE,"[2, 3, 4, 5, 6, 7, 8, 9]",C8H30ONSi2,1,1.0,0.7069764097776674
0,0.003,Phenylalanine336,inst1,PHE,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",C8H30O2NSi2,1,1.0,0.6976373738514143
0,0.003,Asparticacid302,inst1,ASP,"[1, 2]",C12H32O2NSi2,1,1.0,0.720548110539537
0,0.003,Asparticacid390,inst1,ASP,"[2, 3, 4]",C14H40O3NSi3,1,1.0,0.6408037571806581
0,0.003,Asparticacid418,inst1,ASP,"[1, 2, 3, 4]",C14H40O4NSi3,1,1.0,0.6323388525207012
0,0.003,Glutamicacid330,inst1,GLU,"[2, 3, 4, 5]",C12H36O2NSi2,1,1.0,0.704605675553565
0,0.003,Glutamicacid432,inst1,GLU,"[1, 2, 3, 4, 5]",C14H42O4NSi3,1,1.0,0.6253043332059285
0,0.003,Histidine338,inst1,HIS,"[2, 3, 4, 5, 6]",C12H36N3Si2,1,1.0,0.0382896265959987
0,0.003,Histidine440,inst1,HIS,"[1, 2, 3, 4, 5, 6]",C14H42O2N3Si3,1,1.0,0.03263724775858626
1,0.003,Alanine232,inst1,ALA,"[2, 3]",C8H26ONSi2,1,1.0,0.23559055993567563
1,0.003,Alanine260,inst1,ALA,"[1, 2, 3]",C8H26O2NSi2,1,1.0,0.15662737358923556
