rxn_id,flux,experiment_id,flux_std_error
R72,36.58392071136258,simulation1,0.10975176213408774
ex_1,100.0,simulation1,0.3
ex_2,113.35362206260427,simulation1,0.34006086618781284
ex_3,118.40148359534564,simulation1,0.3552044507860369
ex_4,0.6212322569979984,simulation1,0.0018636967709939954
R72,36.58392071136258,simulation2,0.10975176213408774
ex_1,100.0,simulation2,0.3
ex_2,113.35362206260427,simulation2,0.34006086618781284
ex_3,118.40148359534564,simulation2,0.3552044507860369
ex_4,0.6212322569979984,simulation2,0.0018636967709939954
R72,36.58392071136258,simulation3,0.10975176213408774
ex_1,100.0,simulation3,0.3
ex_2,113.35362206260427,simulation3,0.34006086618781284
ex_3,118.40148359534564,simulation3,0.3552044507860369
ex_4,0.6212322569979984,simulation3,0.0018636967709939954
R72,36.58392071136258,simulation4,0.10975176213408774
ex_1,100.0,simulation4,0.3
ex_2,113.35362206260427,simulation4,0.34006086618781284
ex_3,118.40148359534564,simulation4,0.3552044507860369
ex_4,0.6212322569979984,simulation4,0.0018636967709939954
R72,36.58392071136258,simulation5,0.10975176213408774
ex_1,100.0,simulation5,0.3
ex_2,113.35362206260427,simulation5,0.34006086618781284
ex_3,118.40148359534564,simulation5,0.3552044507860369
ex_4,0.6212322569979984,simulation5,0.0018636967709939954
R72,36.58392071136258,simulation6,0.10975176213408774
ex_1,100.0,simulation6,0.3
ex_2,113.35362206260427,simulation6,0.34006086618781284
ex_3,118.40148359534564,simulation6,0.3552044507860369
ex_4,0.6212322569979984,simulation6,0.0018636967709939954
R72,36.58392071136258,simulation7,0.10975176213408774
ex_1,100.0,simulation7,0.3
ex_2,113.35362206260427,simulation7,0.34006086618781284
ex_3,118.40148359534564,simulation7,0.3552044507860369
ex_4,0.6212322569979984,simulation7,0.0018636967709939954
R72,36.58392071136258,simulation8,0.10975176213408774
ex_1,100.0,simulation8,0.3
ex_2,113.35362206260427,simulation8,0.34006086618781284
ex_3,118.40148359534564,simulation8,0.3552044507860369
ex_4,0.6212322569979984,simulation8,0.0018636967709939954
R72,36.58392071136258,simulation9,0.10975176213408774
ex_1,100.0,simulation9,0.3
ex_2,113.35362206260427,simulation9,0.34006086618781284
ex_3,118.40148359534564,simulation9,0.3552044507860369
ex_4,0.6212322569979984,simulation9,0.0018636967709939954
