wasylenko_model_id;Kegg
Glucan;C00965
AKG;C00026
HMGCoA;C00356
AcCOOH;C00033
AcCHO;C00084
AcAcCoA;C00332
AcCoA;C00024
AcP;C00227
AcP;C00227
Ala;C00041
AMP;C00020
Arg;C00062
Asn;C00152
FBP;C02336
Mannan;C00464
Cit;C00158
CMP;C00055
CO2;C00011
COUMARATE;C00811
DMAPP;C00235
CA;C00423
CA;C00423
Cys;C00097
G6P;C00092
S7P;C05382
DAMP;C00360
DCMP;C00239
IPPP;C00129
DGMP;C00362
DUMP;C00365
ergosterol;C01694
E4P;C00279
EtOH;C00469
F6P;C05345
Fum;C00122
PG3;C00197
G3P;C00118
Gln;C00064
Glu;C00025
Glc;C00031
Gly;C00037
Glyc;C00116
Glyc3P;C00093
Glyc3P;C00093
DHAP;C00111
Glycogen;C00182
GMP;C00144
His;C00135
Ile;C00407
IMP;C00130
Asp;C00049
Leu;C00123
Lys;C00047
Mal;C00149
Met;C00073
MVL;C00418
OAA;C00036
Phe;C00079
PEP;C00074
Pro;C00148
Pyr;C00022
R5P;C00117
Ru5P;C00199
Ser;C00065
Suc;C00042
Thr;C00188
ICit;C00451
DTMP;C00364
Trehalose;
TAG;C00422
Trp;C00078
Tyr;C00082
UMP;C00105
Val;C00183
X5P;C00231
X5P;C00231
zymosterol;C05437
PA;
PC;
PE;
PI;
PS;
Biomass;
TKC2;
TAC3;
C1;
Xylo;C01510
